hcp_id,first_name,last_name,specialty,tier,decile,city,state,zone,hospital,years_practicing,preferred_contact,npi_like_id
HCP-0001,Parth,Brar,Gastroenterologist,B,4,Mumbai,Maharashtra,West,AIIMS,33,Hospital,MCI-10001
HCP-0002,Lavanya,Khosla,Consultant_Physician,B,6,Kolkata,West Bengal,East,,29,Clinic,MCI-10002
HCP-0003,Widisha,Dhar,Pulmonist,A,1,Mumbai,Maharashtra,West,Manipal Hospital,33,Clinic,MCI-10003
HCP-0004,Vincent,Shenoy,Cardiologist,C,7,Bengaluru,Karnataka,South,Lilavati Hospital,5,Clinic,MCI-10004
HCP-0005,Aachal,Sharaf,Consultant_Physician,A,1,Mumbai,Maharashtra,West,AIIMS,39,Hospital,MCI-10005
HCP-0006,Aadhya,Andra,Diabetologist,A,4,Hyderabad,Telangana,South,Artemis Hospital,30,Clinic,MCI-10006
HCP-0007,Udyati,Mani,GP,C,6,Jaipur,Rajasthan,North,Global Hospital,40,Clinic,MCI-10007
HCP-0008,Nakul,Borah,GP,B,5,Bhopal,Madhya Pradesh,West,,25,Phone,MCI-10008
HCP-0009,Riya,Pai,GP,C,9,Mumbai,Maharashtra,West,Max Healthcare,11,Hospital,MCI-10009
HCP-0010,Chandani,Samra,Cardiologist,B,5,Bengaluru,Karnataka,South,Max Healthcare,9,Clinic,MCI-10010
HCP-0011,Zashil,Shan,Cardiologist,C,10,Mumbai,Maharashtra,West,,36,Hospital,MCI-10011
HCP-0012,Chasmum,Issac,Gastroenterologist,C,10,Lucknow,Uttar Pradesh,North,,4,Clinic,MCI-10012
HCP-0013,Leena,Subramanian,Diabetologist,C,8,Delhi,Delhi,North,Sunrise Clinic,39,Hospital,MCI-10013
HCP-0014,Hredhaan,Khalsa,GP,B,3,Ahmedabad,Gujarat,West,Narayana Health,5,Hospital,MCI-10014
HCP-0015,Lakshmi,Parmer,GP,B,4,Kochi,Kerala,South,Sunrise Clinic,26,Clinic,MCI-10015
HCP-0016,Chakrika,Merchant,Pulmonist,A,1,Chennai,Tamil Nadu,South,AIIMS,18,Clinic,MCI-10016
HCP-0017,Anthony,Randhawa,Cardiologist,B,4,Chennai,Tamil Nadu,South,Aster Medcity,28,Clinic,MCI-10017
HCP-0018,Anvi,Anand,Pulmonist,A,2,Chennai,Tamil Nadu,South,Kokilaben Hospital,36,Hospital,MCI-10018
HCP-0019,Chandran,Taneja,GP,A,1,Pune,Maharashtra,West,Kokilaben Hospital,6,Hospital,MCI-10019
HCP-0020,Bhavini,Karpe,Diabetologist,B,3,Bengaluru,Karnataka,South,Max Healthcare,30,Clinic,MCI-10020
HCP-0021,Indira,Kanda,Pulmonist,B,7,Chennai,Tamil Nadu,South,,37,Hospital,MCI-10021
HCP-0022,Ranveer,Krishna,GP,B,6,Pune,Maharashtra,West,Max Healthcare,3,Hospital,MCI-10022
HCP-0023,Laksh,Chatterjee,GP,B,4,Ahmedabad,Gujarat,West,,14,WhatsApp,MCI-10023
HCP-0024,Balveer,More,Consultant_Physician,C,8,Hyderabad,Telangana,South,City Hospital,28,Clinic,MCI-10024
HCP-0025,Ridhi,Bandi,Diabetologist,B,5,Bengaluru,Karnataka,South,Artemis Hospital,25,Clinic,MCI-10025
HCP-0026,Janya,Deep,Diabetologist,C,8,Bengaluru,Karnataka,South,,31,Clinic,MCI-10026
HCP-0027,Gautam,Merchant,Consultant_Physician,B,7,Bengaluru,Karnataka,South,Fortis Hospital,21,Phone,MCI-10027
HCP-0028,Eta,Sagar,Pulmonist,B,4,Ahmedabad,Gujarat,West,,14,Clinic,MCI-10028
HCP-0029,Parth,Iyer,GP,C,7,Chennai,Tamil Nadu,South,AIIMS,34,Clinic,MCI-10029
HCP-0030,Kevin,Zacharia,Cardiologist,B,6,Mumbai,Maharashtra,West,,38,Hospital,MCI-10030
HCP-0031,Jasmit,Wali,Pulmonist,B,5,Bengaluru,Karnataka,South,City Hospital,8,Clinic,MCI-10031
HCP-0032,Yachana,Mahajan,Gastroenterologist,B,3,Pune,Maharashtra,West,Narayana Health,7,Hospital,MCI-10032
HCP-0033,Nitesh,Kurian,Diabetologist,B,8,Kolkata,West Bengal,East,Lilavati Hospital,4,Clinic,MCI-10033
HCP-0034,Vasatika,Merchant,Consultant_Physician,B,3,Kolkata,West Bengal,East,Artemis Hospital,28,Hospital,MCI-10034
HCP-0035,Hamsini,Contractor,GP,B,4,Mumbai,Maharashtra,West,Narayana Health,17,Clinic,MCI-10035
HCP-0036,Upadhriti,Borra,Diabetologist,C,7,Bengaluru,Karnataka,South,Aster Medcity,27,Hospital,MCI-10036
HCP-0037,Lohit,Kara,Gastroenterologist,B,5,Ahmedabad,Gujarat,West,,28,Hospital,MCI-10037
HCP-0038,Mekhala,Pau,GP,B,4,Chennai,Tamil Nadu,South,City Hospital,35,Phone,MCI-10038
HCP-0039,Gautam,Rana,Cardiologist,A,2,Delhi,Delhi,North,,30,Clinic,MCI-10039
HCP-0040,Akshay,Lalla,GP,A,4,Mumbai,Maharashtra,West,,35,Clinic,MCI-10040
HCP-0041,Jatin,Sha,Cardiologist,C,7,Chennai,Tamil Nadu,South,Sunrise Clinic,2,WhatsApp,MCI-10041
HCP-0042,Jyoti,Lala,Diabetologist,B,7,Hyderabad,Telangana,South,Lilavati Hospital,8,Hospital,MCI-10042
HCP-0043,Lakshmi,Prabhu,Gastroenterologist,C,10,Lucknow,Uttar Pradesh,North,Artemis Hospital,29,Hospital,MCI-10043
HCP-0044,Hritik,Kaur,Gastroenterologist,C,6,Chennai,Tamil Nadu,South,Apollo Hospital,18,Phone,MCI-10044
HCP-0045,Urishilla,Bakshi,Diabetologist,A,2,Kolkata,West Bengal,East,Sunrise Clinic,19,Phone,MCI-10045
HCP-0046,Falak,Kant,Diabetologist,A,3,Mumbai,Maharashtra,West,Care Clinic,38,Hospital,MCI-10046
HCP-0047,Dev,Shetty,Gastroenterologist,B,6,Lucknow,Uttar Pradesh,North,AIIMS,29,Hospital,MCI-10047
HCP-0048,Chasmum,Rege,Cardiologist,B,5,Delhi,Delhi,North,Care Clinic,22,Clinic,MCI-10048
HCP-0049,Jackson,Dey,GP,C,8,Mumbai,Maharashtra,West,,32,Phone,MCI-10049
HCP-0050,Chakradev,Barad,Consultant_Physician,B,7,Ahmedabad,Gujarat,West,,4,Clinic,MCI-10050
HCP-0051,Daksha,Tailor,Cardiologist,A,1,Ahmedabad,Gujarat,West,Artemis Hospital,40,Hospital,MCI-10051
HCP-0052,Jack,Chatterjee,Diabetologist,B,5,Lucknow,Uttar Pradesh,North,Artemis Hospital,2,Hospital,MCI-10052
HCP-0053,Wahab,Yogi,Consultant_Physician,A,1,Kolkata,West Bengal,East,,9,Hospital,MCI-10053
HCP-0054,Krishna,Rama,Diabetologist,B,6,Pune,Maharashtra,West,Lilavati Hospital,13,Hospital,MCI-10054
HCP-0055,Sudiksha,Prabhakar,Pulmonist,C,10,Bhopal,Madhya Pradesh,West,Medanta Hospital,40,Clinic,MCI-10055
HCP-0056,Oni,Dubey,GP,B,8,Ahmedabad,Gujarat,West,Wellness Clinic,7,Hospital,MCI-10056
HCP-0057,Oeshi,Chaudhary,Diabetologist,A,1,Chennai,Tamil Nadu,South,Care Clinic,19,Clinic,MCI-10057
HCP-0058,Vrishti,Reddy,Diabetologist,C,9,Delhi,Delhi,North,Global Hospital,39,Clinic,MCI-10058
HCP-0059,Ati,Bali,GP,C,10,Ahmedabad,Gujarat,West,Wellness Clinic,2,Clinic,MCI-10059
HCP-0060,Kamala,Kalla,Consultant_Physician,B,4,Lucknow,Uttar Pradesh,North,Sunrise Clinic,16,Hospital,MCI-10060
HCP-0061,Sachi,Saxena,Consultant_Physician,B,4,Bengaluru,Karnataka,South,AIIMS,22,Clinic,MCI-10061
HCP-0062,Warinder,Patil,Pulmonist,B,5,Mumbai,Maharashtra,West,Sunrise Clinic,4,Phone,MCI-10062
HCP-0063,Hardik,Pillai,Diabetologist,C,6,Bengaluru,Karnataka,South,AIIMS,10,WhatsApp,MCI-10063
HCP-0064,Jagrati,Bhat,Cardiologist,C,9,Lucknow,Uttar Pradesh,North,,35,Clinic,MCI-10064
HCP-0065,Mitali,Majumdar,Diabetologist,C,8,Ahmedabad,Gujarat,West,,33,Hospital,MCI-10065
HCP-0066,Ranveer,Das,Consultant_Physician,B,7,Jaipur,Rajasthan,North,Global Hospital,7,Hospital,MCI-10066
HCP-0067,Suhani,Chand,GP,C,8,Bengaluru,Karnataka,South,Lilavati Hospital,5,Clinic,MCI-10067
HCP-0068,Simon,Bail,Cardiologist,A,2,Bengaluru,Karnataka,South,,40,Hospital,MCI-10068
HCP-0069,Chandresh,Nath,GP,B,6,Mumbai,Maharashtra,West,Aster Medcity,37,Clinic,MCI-10069
HCP-0070,Yagnesh,Dass,Gastroenterologist,B,4,Bengaluru,Karnataka,South,AIIMS,4,Hospital,MCI-10070
HCP-0071,Samesh,Biswas,Diabetologist,B,6,Jaipur,Rajasthan,North,Wellness Clinic,23,Clinic,MCI-10071
HCP-0072,Sarthak,Kalita,GP,B,6,Jaipur,Rajasthan,North,Global Hospital,35,Phone,MCI-10072
HCP-0073,Viraj,Narasimhan,Diabetologist,B,7,Bengaluru,Karnataka,South,,10,Clinic,MCI-10073
HCP-0074,Manbir,Agate,Consultant_Physician,C,8,Ahmedabad,Gujarat,West,,12,Hospital,MCI-10074
HCP-0075,Aradhana,Dhillon,GP,A,2,Kolkata,West Bengal,East,,35,Clinic,MCI-10075
HCP-0076,Kalpit,Zachariah,Pulmonist,B,6,Jaipur,Rajasthan,North,Wellness Clinic,7,Clinic,MCI-10076
HCP-0077,Zashil,Ghosh,Diabetologist,C,10,Kolkata,West Bengal,East,Medanta Hospital,33,Clinic,MCI-10077
HCP-0078,Imaran,Bal,Cardiologist,B,5,Mumbai,Maharashtra,West,,21,Hospital,MCI-10078
HCP-0079,Karan,Aurora,GP,B,4,Kochi,Kerala,South,Kokilaben Hospital,15,WhatsApp,MCI-10079
HCP-0080,Ishita,Khanna,Diabetologist,B,7,Mumbai,Maharashtra,West,Wellness Clinic,18,Phone,MCI-10080
HCP-0081,Ekiya,Babu,Consultant_Physician,A,3,Mumbai,Maharashtra,West,Artemis Hospital,15,Clinic,MCI-10081
HCP-0082,Owen,Lanka,Consultant_Physician,C,9,Ahmedabad,Gujarat,West,Medanta Hospital,18,Hospital,MCI-10082
HCP-0083,Charles,Date,Gastroenterologist,A,2,Hyderabad,Telangana,South,Narayana Health,9,Hospital,MCI-10083
HCP-0084,Oviya,Vora,GP,B,7,Pune,Maharashtra,West,,26,Clinic,MCI-10084
HCP-0085,Ishaan,Bhatt,Pulmonist,A,4,Mumbai,Maharashtra,West,Fortis Hospital,31,Phone,MCI-10085
HCP-0086,Vamakshi,Sen,Diabetologist,C,8,Pune,Maharashtra,West,Aster Medcity,26,Clinic,MCI-10086
HCP-0087,Janaki,Varghese,GP,C,7,Bengaluru,Karnataka,South,,19,Hospital,MCI-10087
HCP-0088,Ikbal,Seth,Diabetologist,B,3,Delhi,Delhi,North,Apollo Hospital,39,Hospital,MCI-10088
HCP-0089,Yahvi,Kant,Pulmonist,B,6,Delhi,Delhi,North,Apollo Hospital,34,Clinic,MCI-10089
HCP-0090,Caleb,Verma,GP,B,6,Bengaluru,Karnataka,South,Medanta Hospital,16,Phone,MCI-10090
HCP-0091,Charvi,Shanker,Cardiologist,C,7,Bengaluru,Karnataka,South,Wellness Clinic,10,Hospital,MCI-10091
HCP-0092,Azaan,Bhat,Gastroenterologist,C,8,Delhi,Delhi,North,,28,Clinic,MCI-10092
HCP-0093,Varenya,Ratti,Pulmonist,C,9,Kolkata,West Bengal,East,Care Clinic,39,Clinic,MCI-10093
HCP-0094,Pooja,Chokshi,Diabetologist,B,8,Mumbai,Maharashtra,West,Aster Medcity,34,Phone,MCI-10094
HCP-0095,Vritti,Sawhney,GP,C,9,Bengaluru,Karnataka,South,,12,Hospital,MCI-10095
HCP-0096,Ethan,Buch,GP,C,8,Bengaluru,Karnataka,South,Artemis Hospital,5,Clinic,MCI-10096
HCP-0097,Ekanta,Divan,Consultant_Physician,B,6,Mumbai,Maharashtra,West,,19,Hospital,MCI-10097
HCP-0098,Dominic,Date,GP,C,10,Pune,Maharashtra,West,AIIMS,39,Hospital,MCI-10098
HCP-0099,Anvi,Nair,Pulmonist,C,8,Kolkata,West Bengal,East,Kokilaben Hospital,40,Hospital,MCI-10099
HCP-0100,Lakshmi,Wali,Cardiologist,A,4,Mumbai,Maharashtra,West,Manipal Hospital,7,Hospital,MCI-10100
